Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22uF","C_1206_3216Metric",122.000000,-92.000000,0.000000,top
"C2","100nF","C_0402_1005Metric",148.000000,-87.000000,0.000000,top
"C3","22uF","C_1206_3216Metric",156.000000,-102.000000,0.000000,top
"C4","10uF","C_1206_3216Metric",125.000000,-108.000000,0.000000,top
"C5","220nF","C_0402_1005Metric",125.000000,-113.000000,0.000000,top
"C6","100nF","C_0402_1005Metric",144.000000,-116.000000,0.000000,top
"C7","470uF","CP_Elec_8x10",163.000000,-112.000000,0.000000,top
"C8","22uF","C_0805_2012Metric",163.000000,-119.000000,0.000000,top
"C9","100nF","C_0402_1005Metric",150.000000,-118.000000,0.000000,top
"C10","1uF","C_0402_1005Metric",125.000000,-132.000000,0.000000,top
"C11","1uF","C_0402_1005Metric",131.000000,-132.000000,0.000000,top
"C12","1uF","C_0402_1005Metric",142.000000,-132.000000,0.000000,top
"C13","1uF","C_0402_1005Metric",148.000000,-132.000000,0.000000,top
"C14","100nF","C_0402_1005Metric",186.000000,-108.000000,0.000000,top
"C15","100nF","C_0402_1005Metric",198.000000,-108.000000,0.000000,top
"C16","100nF","C_0402_1005Metric",210.000000,-108.000000,0.000000,top
"C17","100nF","C_0402_1005Metric",214.000000,-96.000000,90.000000,top
"C18","4.7uF","C_0402_1005Metric",178.000000,-118.000000,0.000000,top
"C19","100nF","C_0402_1005Metric",182.000000,-118.000000,0.000000,top
"C20","100nF","C_0402_1005Metric",186.000000,-118.000000,0.000000,top
"C21","DNP","C_0402_1005Metric",172.000000,-120.000000,0.000000,top
"C22","DNP","C_0402_1005Metric",190.000000,-112.000000,0.000000,top
"C23","100nF","C_0402_1005Metric",204.000000,-118.000000,0.000000,top
"C24","100nF","C_0402_1005Metric",214.000000,-120.000000,0.000000,top
"C25","100nF","C_0402_1005Metric",130.000000,-148.000000,0.000000,top
"C26","100nF","C_0402_1005Metric",135.000000,-148.000000,0.000000,top
"C27","100nF","C_0402_1005Metric",145.000000,-148.000000,0.000000,top
"C28","100nF","C_0402_1005Metric",150.000000,-148.000000,0.000000,top
"C29","10nF","C_0402_1005Metric",150.000000,-158.000000,90.000000,top
